u,v,sim
Q172P__top,Q168P,0.6267235393314156
Q172P__top,Q170P__top,0.5952654105811234
Q172P__top,Q171P__top,0.5451175925517363
Q172P__top,Q173P__top,0.6605978637813844
Q172P__top,Q182__bottom,0.5978265369488719
Q172P__top,Q183__bottom,0.5551599346252627
Q172P__top,Q184__bottom,0.6073045304747764
Q172P__top,Q186__bottom,0.601553192428187
Q172P__top,Q187__bottom,0.5677941967534728
Q172P__top,Q188__bottom,0.6207984850875808
Q172P__top,Q193__bottom,0.5706040345162581
Q172P__top,Q195__bottom,0.526523737237206
Q172P__top,Q205P__bottom,0.5347957309071822
Q172P__top,Q209P__bottom,0.5179367250584653
Q172P__top,Q210P__bottom,0.5322869409535729
Q172P__top,Q211P__bottom,0.5224225315968435
Q172P__top,Q212P__bottom,0.5293760200006945
Q172P__top,Q214P__bottom,0.509332392004589
Q172P__top,Q218P__bottom,0.5261193238456807
Q172P__top,Q221P__top,0.5238003543094816
Q172P__top,Q234P__top,0.5353955357608866
Q172P__top,Q254P__top,0.5723464405037265
Q172P__top,Q255P__top,0.5486088244978597
Q172P__top,Q257P__top,0.5321007810086926
Q172P__top,Q27P__top,0.6148149742750737
Q172P__top,Q45P__top,0.5409667529511116
Q172P__top,Q57P__c1,0.5221485097564708
Q172P__top,Q5P__top,0.559418163601231
Q172P__top,Q6P__top,0.738516524731942
Q173P__top,Q165P,0.7368635825727383
Q173P__top,Q166P,0.7180607573866001
Q173P__top,Q167P,0.6752670273269524
Q173P__top,Q168P,0.7482061964752174
Q173P__top,Q170P__top,0.5396379525593009
Q173P__top,Q182__bottom,0.6051290054099043
Q173P__top,Q183__bottom,0.6033777222915799
Q173P__top,Q184__bottom,0.6777118879178804
Q173P__top,Q186__bottom,0.529130253849355
Q173P__top,Q187__bottom,0.6826250672404519
Q173P__top,Q188__bottom,0.6333749479816896
Q173P__top,Q193__bottom,0.6163996393397142
Q173P__top,Q205P__bottom,0.5226453044805105
Q173P__top,Q254P__top,0.6559855735885698
Q173P__top,Q255P__top,0.5674677486475239
Q173P__top,Q257P__top,0.5061728395061729
Q173P__top,Q27P__top,0.5755132473297268
Q173P__top,Q45P__top,0.6269073380496601
Q173P__top,Q5P__top,0.6524830073519212
Q173P__top,Q6P__top,0.646986405881537
Q182__bottom,Q151P,0.5747657532923335
Q182__bottom,Q165P,0.5675558034196172
Q182__bottom,Q166P,0.5551965157528713
Q182__bottom,Q167P,0.5955725922376617
Q182__bottom,Q168P,0.5766127698971663
Q182__bottom,Q170P__top,0.573338853239495
Q182__bottom,Q180__bottom,0.5605610042032425
Q182__bottom,Q181__bottom,0.5546947794372121
Q182__bottom,Q183__bottom,0.7341038213090513
Q182__bottom,Q184__bottom,0.7116756600152102
Q182__bottom,Q185__bottom,0.5643759056096046
Q182__bottom,Q186__bottom,0.6940592009935831
Q182__bottom,Q187__bottom,0.6546530392684239
Q182__bottom,Q188__bottom,0.7130542843616854
Q182__bottom,Q191__bottom,0.5545779599051867
Q182__bottom,Q193__bottom,0.7008019505876526
Q182__bottom,Q195__bottom,0.5831918857379425
Q182__bottom,Q203P__bottom,0.515131442765473
Q182__bottom,Q205P__bottom,0.5535706892982819
Q182__bottom,Q209P__bottom,0.5417304905816601
Q182__bottom,Q210P__bottom,0.5753767534025134
Q182__bottom,Q211P__bottom,0.5609190643759057
Q182__bottom,Q212P__bottom,0.5783881384770304
Q182__bottom,Q214P__bottom,0.5292072034775409
Q182__bottom,Q215P__bottom,0.5752576555201305
Q182__bottom,Q216P__bottom,0.5123162906230594
Q182__bottom,Q218P__bottom,0.5885116953011799
Q182__bottom,Q219P__bottom,0.5624646586496777
Q182__bottom,Q22P,0.6115504036431381
Q182__bottom,Q254P__top,0.5773029335095642
Q182__bottom,Q255P__top,0.5606684227856438
Q182__bottom,Q27P__top,0.5832746843303663
Q182__bottom,Q28P__top,0.5095218381287518
Q182__bottom,Q36P__bottom,0.5428689712274891
Q182__bottom,Q5P__top,0.5675230802261504
Q182__bottom,Q6P__top,0.6217346305112813
Q184__bottom,Q151P,0.648066458447371
